,accuracy,f1_score,precision,recall,tn,fp,fn,tp,severity_threshold,classifier,smell type
0,0.7969957081545065,0.0,0.0,0.0,1857,0,473,0,0.25,Majority Class Classifier,data class.csv
1,0.7296137339055794,0.4123134328358209,0.36894824707846413,0.46723044397463004,1479,378,252,221,0.25,Decision Tree,data class.csv
2,0.8175965665236051,0.48733413751507837,0.5674157303370787,0.427061310782241,1703,154,271,202,0.25,Random Forest,data class.csv
3,0.8197424892703863,0.4101123595505618,0.6108786610878661,0.3086680761099366,1764,93,327,146,0.25,PMD Classifier,data class.csv
4,0.8313304721030043,0.0,0.0,0.0,1937,0,393,0,0.5,Majority Class Classifier,data class.csv
5,0.9562231759656652,0.8725,0.8574938574938575,0.8880407124681934,1879,58,44,349,0.5,Decision Tree,data class.csv
6,0.9540772532188841,0.8650693568726356,0.8575,0.8727735368956743,1880,57,50,343,0.5,Random Forest,data class.csv
7,0.848068669527897,0.439873417721519,0.5815899581589958,0.35368956743002544,1837,100,254,139,0.5,PMD Classifier,data class.csv
8,0.8725321888412018,0.0,0.0,0.0,2033,0,297,0,0.75,Majority Class Classifier,data class.csv
9,0.9476394849785408,0.8006535947712419,0.7777777777777778,0.8249158249158249,1963,70,52,245,0.75,Decision Tree,data class.csv
10,0.955793991416309,0.8308702791461412,0.8108974358974359,0.8518518518518519,1974,59,44,253,0.75,Random Forest,data class.csv
11,0.878969957081545,0.47388059701492535,0.5313807531380753,0.4276094276094276,1921,112,170,127,0.75,PMD Classifier,data class.csv
12,0.8832618025751073,0.0,0.0,0.0,2058,0,272,0,1.0,Majority Class Classifier,data class.csv
13,0.9862660944206009,0.9422382671480144,0.925531914893617,0.9595588235294118,2037,21,11,261,1.0,Decision Tree,data class.csv
14,0.9858369098712446,0.940754039497307,0.9192982456140351,0.9632352941176471,2035,23,10,262,1.0,Random Forest,data class.csv
15,0.8819742489270386,0.461839530332681,0.49372384937238495,0.4338235294117647,1937,121,154,118,1.0,PMD Classifier,data class.csv
16,0.9175965665236051,0.0,0.0,0.0,2138,0,192,0,1.25,Majority Class Classifier,data class.csv
17,0.955793991416309,0.7352185089974294,0.7258883248730964,0.7447916666666666,2084,54,49,143,1.25,Decision Tree,data class.csv
18,0.9622317596566523,0.7671957671957673,0.7795698924731183,0.7552083333333334,2097,41,47,145,1.25,Random Forest,data class.csv
19,0.8965665236051502,0.44083526682134566,0.39748953974895396,0.4947916666666667,1994,144,97,95,1.25,PMD Classifier,data class.csv
20,0.9493562231759657,0.0,0.0,0.0,2212,0,118,0,1.5,Majority Class Classifier,data class.csv
21,0.9708154506437768,0.728,0.6893939393939394,0.7711864406779662,2171,41,27,91,1.5,Decision Tree,data class.csv
22,0.9686695278969957,0.6812227074235808,0.7027027027027027,0.6610169491525424,2179,33,40,78,1.5,Random Forest,data class.csv
23,0.9145922746781115,0.4425770308123249,0.3305439330543933,0.6694915254237288,2052,160,39,79,1.5,PMD Classifier,data class.csv
24,0.9639484978540772,0.0,0.0,0.0,2246,0,84,0,1.75,Majority Class Classifier,data class.csv
25,0.9798283261802575,0.7403314917127072,0.6907216494845361,0.7976190476190477,2216,30,17,67,1.75,Decision Tree,data class.csv
26,0.98068669527897,0.713375796178344,0.7671232876712328,0.6666666666666666,2229,17,28,56,1.75,Random Forest,data class.csv
27,0.9128755364806866,0.37151702786377705,0.2510460251046025,0.7142857142857143,2067,179,24,60,1.75,PMD Classifier,data class.csv
28,0.9690987124463519,0.0,0.0,0.0,2258,0,72,0,2.0,Majority Class Classifier,data class.csv
29,0.9935622317596566,0.896551724137931,0.8904109589041096,0.9027777777777778,2250,8,7,65,2.0,Decision Tree,data class.csv
30,0.9918454935622317,0.8633093525179857,0.8955223880597015,0.8333333333333334,2251,7,12,60,2.0,Random Forest,data class.csv
31,0.9137339055793992,0.3536977491961415,0.2301255230125523,0.7638888888888888,2074,184,17,55,2.0,PMD Classifier,data class.csv
32,0.9854077253218884,0.0,0.0,0.0,2296,0,34,0,2.25,Majority Class Classifier,data class.csv
33,0.9849785407725322,0.5679012345679013,0.48936170212765956,0.6764705882352942,2272,24,11,23,2.25,Decision Tree,data class.csv
34,0.9909871244635193,0.6557377049180328,0.7407407407407407,0.5882352941176471,2289,7,14,20,2.25,Random Forest,data class.csv
35,0.9051502145922746,0.1904761904761905,0.1087866108786611,0.7647058823529411,2083,213,8,26,2.25,PMD Classifier,data class.csv
36,0.9918454935622317,0.0,0.0,0.0,2311,0,19,0,2.5,Majority Class Classifier,data class.csv
37,0.992274678111588,0.5263157894736842,0.5263157894736842,0.5263157894736842,2302,9,9,10,2.5,Decision Tree,data class.csv
38,0.9918454935622317,0.3870967741935484,0.5,0.3157894736842105,2305,6,13,6,2.5,Random Forest,data class.csv
39,0.9021459227467811,0.11627906976744186,0.06276150627615062,0.7894736842105263,2087,224,4,15,2.5,PMD Classifier,data class.csv
40,0.7871883061049011,0.0,0.0,0.0,1831,0,495,0,0.25,Majority Class Classifier,blob.csv
41,0.7807394668959587,0.5009784735812133,0.4857685009487666,0.5171717171717172,1560,271,239,256,0.25,Decision Tree,blob.csv
42,0.820292347377472,0.5324384787472035,0.5964912280701754,0.4808080808080808,1670,161,257,238,0.25,Random Forest,blob.csv
43,0.7665520206362855,0.3304562268803946,0.4240506329113924,0.27070707070707073,1649,182,361,134,0.25,PMD Classifier,blob.csv
44,0.8379191745485812,0.0,0.0,0.0,1949,0,377,0,0.5,Majority Class Classifier,blob.csv
45,0.9514187446259673,0.8519003931847968,0.8419689119170984,0.8620689655172413,1888,61,52,325,0.5,Decision Tree,blob.csv
46,0.9527085124677558,0.8489010989010989,0.8803418803418803,0.8196286472148541,1907,42,68,309,0.5,Random Forest,blob.csv
47,0.8086844368013758,0.3578643578643579,0.3924050632911392,0.32891246684350134,1757,192,253,124,0.5,PMD Classifier,blob.csv
48,0.8723129836629406,0.0,0.0,0.0,2029,0,297,0,0.75,Majority Class Classifier,blob.csv
49,0.9548581255374032,0.8223350253807107,0.826530612244898,0.8181818181818182,1978,51,54,243,0.75,Decision Tree,blob.csv
50,0.9557179707652622,0.8214904679376084,0.8464285714285714,0.797979797979798,1986,43,60,237,0.75,Random Forest,blob.csv
51,0.8319002579535684,0.3621533442088091,0.3512658227848101,0.37373737373737376,1824,205,186,111,0.75,PMD Classifier,blob.csv
52,0.8907996560619088,0.0,0.0,0.0,2072,0,254,0,1.0,Majority Class Classifier,blob.csv
53,0.9724849527085124,0.8754863813229572,0.8653846153846154,0.8858267716535433,2037,35,29,225,1.0,Decision Tree,blob.csv
54,0.976354256233878,0.8936170212765957,0.8783269961977186,0.9094488188976378,2040,32,23,231,1.0,Random Forest,blob.csv
55,0.8443680137575237,0.3649122807017544,0.3291139240506329,0.4094488188976378,1860,212,150,104,1.0,PMD Classifier,blob.csv
56,0.9346517626827171,0.0,0.0,0.0,2174,0,152,0,1.25,Majority Class Classifier,blob.csv
57,0.9552880481513327,0.6623376623376623,0.6538461538461539,0.6710526315789473,2120,54,50,102,1.25,Decision Tree,blob.csv
58,0.9742046431642304,0.8,0.8108108108108109,0.7894736842105263,2146,28,32,120,1.25,Random Forest,blob.csv
59,0.8693035253654342,0.3504273504273504,0.25949367088607594,0.5394736842105263,1940,234,70,82,1.25,PMD Classifier,blob.csv
60,0.9591573516766982,0.0,0.0,0.0,2231,0,95,0,1.5,Majority Class Classifier,blob.csv
61,0.9681857265692175,0.63,0.6,0.6631578947368421,2189,42,32,63,1.5,Decision Tree,blob.csv
62,0.971195184866724,0.6127167630057804,0.6794871794871795,0.5578947368421052,2206,25,42,53,1.5,Random Forest,blob.csv
63,0.8680137575236457,0.2530413625304136,0.16455696202531644,0.5473684210526316,1967,264,43,52,1.5,PMD Classifier,blob.csv
64,0.9699054170249355,0.0,0.0,0.0,2256,0,70,0,1.75,Majority Class Classifier,blob.csv
65,0.9875322441960447,0.8027210884353742,0.7662337662337663,0.8428571428571429,2238,18,11,59,1.75,Decision Tree,blob.csv
66,0.9832330180567498,0.7111111111111111,0.7384615384615385,0.6857142857142857,2239,17,22,48,1.75,Random Forest,blob.csv
67,0.8675838349097162,0.20207253886010362,0.12341772151898735,0.5571428571428572,1979,277,31,39,1.75,PMD Classifier,blob.csv
68,0.9776440240756664,0.0,0.0,0.0,2274,0,52,0,2.0,Majority Class Classifier,blob.csv
69,0.9905417024935511,0.8035714285714286,0.75,0.8653846153846154,2259,15,7,45,2.0,Decision Tree,blob.csv
70,0.9823731728288908,0.5494505494505495,0.6410256410256411,0.4807692307692308,2260,14,27,25,2.0,Random Forest,blob.csv
71,0.8650042992261393,0.1467391304347826,0.08544303797468354,0.5192307692307693,1985,289,25,27,2.0,PMD Classifier,blob.csv
72,0.9914015477214101,0.0,0.0,0.0,2306,0,20,0,2.25,Majority Class Classifier,blob.csv
73,0.9918314703353397,0.5365853658536585,0.5238095238095238,0.55,2296,10,9,11,2.25,Decision Tree,blob.csv
74,0.9905417024935511,0.38888888888888884,0.4375,0.35,2297,9,13,7,2.25,Random Forest,blob.csv
75,0.8667239896818573,0.07738095238095238,0.04113924050632911,0.65,2003,303,7,13,2.25,PMD Classifier,blob.csv
76,0.9957007738607051,0.0,0.0,0.0,2316,0,10,0,2.5,Majority Class Classifier,blob.csv
77,0.9965606190885641,0.6,0.6,0.6,2312,4,4,6,2.5,Decision Tree,blob.csv
78,0.9965606190885641,0.33333333333333337,1.0,0.2,2316,0,8,2,2.5,Random Forest,blob.csv
79,0.8641444539982803,0.030674846625766874,0.015822784810126583,0.5,2005,311,5,5,2.5,PMD Classifier,blob.csv
